caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
2012-01-03,0.015377,0.015350,0.015003,0.014997,11828800800.00,500,11653387700.00,500,1277.06,0.015474
2012-01-04,0.000388,0.000179,-0.000908,-0.001023,11830914400.00,500,11828800800.00,500,1277.30,0.000188
2012-01-05,0.002898,0.002894,0.004018,0.004011,11865149900.00,500,11830914400.00,500,1281.06,0.002944
2012-01-06,-0.002191,-0.002561,-0.001595,-0.001709,11834768500.00,500,11865149900.00,500,1277.81,-0.002537
2012-01-09,0.002330,0.002303,0.003337,0.003324,11862026700.00,500,11834768500.00,500,1280.70,0.002262
2012-01-10,0.008934,0.008921,0.012679,0.012666,11967902900.00,500,11862026700.00,500,1292.08,0.008886
2012-01-11,0.000413,0.000312,0.001132,0.001081,11971636600.00,500,11967902900.00,500,1292.48,0.000310
2012-01-12,0.002413,0.002389,0.003980,0.003956,12000232100.00,500,11971636600.00,500,1295.50,0.002337
2012-01-13,-0.004854,-0.004854,-0.006615,-0.006615,11941943500.00,500,12000232100.00,500,1289.09,-0.004948
2012-01-17,0.003456,0.003456,0.003102,0.003102,11983337700.00,500,11941943500.00,500,1293.67,0.003553
2012-01-18,0.011388,0.011228,0.014615,0.014571,12117140900.00,500,11983337700.00,500,1308.04,0.011108
2012-01-19,0.005104,0.005077,0.007269,0.007244,12177453800.00,500,12117140900.00,500,1314.50,0.004939
2012-01-20,0.000790,0.000767,-0.001295,-0.001308,12186883200.00,500,12177453800.00,500,1315.38,0.000669
2012-01-23,0.000430,0.000415,0.001295,0.001285,12191956800.00,500,12186883200.00,500,1316.00,0.000471
2012-01-24,-0.000916,-0.000942,0.001501,0.001444,12180465900.00,500,12191956800.00,500,1314.65,-0.001026
2012-01-25,0.008514,0.008501,0.009624,0.009567,12284208200.00,500,12180465900.00,500,1326.05,0.008672
2012-01-26,-0.005659,-0.005705,-0.006659,-0.006733,12214128500.00,500,12284208200.00,500,1318.43,-0.005746
2012-01-27,-0.001511,-0.001563,-0.000039,-0.000094,12194390000.00,500,12214128500.00,500,1316.33,-0.001593
2012-01-30,-0.002354,-0.002384,-0.005231,-0.005328,12165577600.00,500,12194390000.00,500,1313.01,-0.002522
2012-01-31,-0.000399,-0.000404,-0.000375,-0.000394,12155929200.00,500,12165577600.00,500,1312.41,-0.000457
